city_ascii,lat,lng,country,iso3,population
Dryden,49.7833,-92.8333,Canada,CAN,7862.0
Selah,46.6482,-120.5389,United States,USA,7859.0
Terrace Heights,46.6024,-120.4482,United States,USA,7849.0
Woodlake,36.4124,-119.0999,United States,USA,7844.0
Olivette,38.6725,-90.3784,United States,USA,7832.0
Batesville,39.2974,-85.2139,United States,USA,7831.0
Los Fresnos,26.075,-97.4877,United States,USA,7830.0
Covington,37.7785,-79.9868,United States,USA,7822.0
Sallisaw,35.4605,-94.807,United States,USA,7818.0
Southwood Acres,41.961,-72.5719,United States,USA,7816.0
Dock Junction,31.2031,-81.5156,United States,USA,7815.0
Bernardsville,40.7268,-74.5918,United States,USA,7815.0
Duvall,47.7354,-121.9725,United States,USA,7813.0
Colonie,42.7199,-73.8333,United States,USA,7809.0
Fort Riley,39.1111,-96.8138,United States,USA,7808.0
Jasper,30.9221,-93.9947,United States,USA,7804.0
Grand Ledge,42.7534,-84.7448,United States,USA,7802.0
Ashland,37.7597,-77.4716,United States,USA,7796.0
Breckenridge,39.4994,-106.0433,United States,USA,7791.0
San Juan del Sur,11.25,-85.86,Nicaragua,NIC,7790.0
Oceano,35.1019,-120.609,United States,USA,7788.0
Milan,42.0815,-83.6854,United States,USA,7787.0
Fruitvale,39.0933,-108.479,United States,USA,7785.0
Broadview,41.8584,-87.8562,United States,USA,7781.0
Clover,35.1123,-81.2201,United States,USA,7780.0
Joshua,32.4583,-97.3851,United States,USA,7778.0
Manhattan,41.4274,-87.9802,United States,USA,7776.0
Winters,38.532,-121.9781,United States,USA,7775.0
Butler,40.9989,-74.3472,United States,USA,7774.0
Rockmart,34.0103,-85.0441,United States,USA,7772.0
Ancient Oaks,40.536,-75.5852,United States,USA,7769.0
Delta,38.756,-108.0771,United States,USA,7767.0
Canovanas,18.3782,-65.9056,Puerto Rico,PRI,7762.0
Quarryville,39.8957,-76.1617,United States,USA,7761.0
Orosi,36.5434,-119.2903,United States,USA,7760.0
Victor Harbor,-35.5596,138.6173,Australia,AUS,7760.0
Quincy,47.2347,-119.8522,United States,USA,7756.0
Catalina,32.4849,-110.8996,United States,USA,7751.0
Seaford,38.6539,-75.6117,United States,USA,7750.0
Mansfield Center,42.0225,-71.218,United States,USA,7744.0
Emerson,40.9748,-74.0239,United States,USA,7739.0
Citrus Hills,28.887,-82.4311,United States,USA,7735.0
McGregor,26.5611,-81.9134,United States,USA,7732.0
Hampton,33.3835,-84.2854,United States,USA,7732.0
Larose,29.5669,-90.3751,United States,USA,7732.0
Seville,41.0208,-81.8671,United States,USA,7731.0
Ione,38.3613,-120.9422,United States,USA,7730.0
Park City,37.8102,-97.3255,United States,USA,7729.0
York,40.8698,-97.5943,United States,USA,7726.0
Big Stone Gap,36.8626,-82.7769,United States,USA,7725.0
Clear Lake,43.1346,-93.374,United States,USA,7723.0
Norwich,42.5333,-75.5227,United States,USA,7722.0
Oakdale,30.8158,-92.6541,United States,USA,7722.0
Centerville,32.6341,-83.6854,United States,USA,7716.0
Inwood,28.0391,-81.7677,United States,USA,7708.0
Antigo,45.1415,-89.1556,United States,USA,7708.0
Scotia,42.8321,-73.9607,United States,USA,7707.0
Round Lake Park,42.3308,-88.0749,United States,USA,7704.0
River Oaks,32.7767,-97.3984,United States,USA,7703.0
West Slope,45.4962,-122.7731,United States,USA,7698.0
Half Moon,34.8298,-77.4591,United States,USA,7696.0
Pittston,41.3274,-75.7885,United States,USA,7694.0
Ormond-by-the-Sea,29.3437,-81.0677,United States,USA,7692.0
Wapato,46.4434,-120.4215,United States,USA,7686.0
Swainsboro,32.5866,-82.3345,United States,USA,7684.0
Altoona,44.803,-91.4387,United States,USA,7680.0
Hastings,42.6498,-85.2886,United States,USA,7673.0
South Beloit,42.4821,-89.0247,United States,USA,7673.0
White Oak,40.3415,-79.8007,United States,USA,7673.0
Fairfield,40.8828,-74.3041,United States,USA,7671.0
Revelstoke,51.0005,-118.1833,Canada,CAN,7668.0
Thomaston,41.6696,-73.0859,United States,USA,7668.0
Sebastopol,38.4,-122.8277,United States,USA,7666.0
Rolesville,35.9241,-78.466,United States,USA,7666.0
Estes Park,40.3703,-105.5222,United States,USA,7664.0
South Lockport,43.1377,-78.6864,United States,USA,7654.0
Southeast Arcadia,27.1862,-81.8521,United States,USA,7653.0
Galliano,29.4471,-90.3096,United States,USA,7650.0
West Concord,42.4518,-71.4035,United States,USA,7646.0
Pomona,39.4687,-74.5501,United States,USA,7645.0
Hales Corners,42.941,-88.0491,United States,USA,7642.0
Benton,38.011,-88.9179,United States,USA,7642.0
Heyin,36.0451,101.4242,China,CHN,7642.0
Plaistow,42.8403,-71.096,United States,USA,7642.0
Gettysburg,39.8304,-77.2339,United States,USA,7633.0
Eden Isle,30.2279,-89.7987,United States,USA,7631.0
Grove,36.5929,-94.7878,United States,USA,7630.0
Robinson,39.0089,-87.7333,United States,USA,7628.0
Fort Scott,37.8283,-94.7038,United States,USA,7628.0
Aberdeen,35.1351,-79.4319,United States,USA,7625.0
New Roads,30.6959,-91.4537,United States,USA,7623.0
Creston,41.0597,-94.365,United States,USA,7622.0
Auburn,34.0157,-83.8319,United States,USA,7622.0
Sudden Valley,48.7199,-122.3468,United States,USA,7621.0
Escalon,37.7912,-120.9981,United States,USA,7615.0
Seminole,32.7215,-102.6504,United States,USA,7613.0
Brighton,42.5298,-83.7847,United States,USA,7611.0
Wilmington Manor,39.6858,-75.5849,United States,USA,7608.0
Ogden,34.2656,-77.7965,United States,USA,7608.0
Berlin,39.7915,-74.9375,United States,USA,7606.0
Devils Lake,48.1131,-98.8753,United States,USA,7602.0
Fairfax,37.9884,-122.595,United States,USA,7598.0
Carbondale,39.3947,-107.2145,United States,USA,7597.0
Fort Pierce North,27.4736,-80.3594,United States,USA,7597.0
San Antonio,18.4468,-66.3002,Puerto Rico,PRI,7592.0
Lamar,38.074,-102.6155,United States,USA,7592.0
Kasson,44.0333,-92.7481,United States,USA,7589.0
Haddon Heights,39.8791,-75.0645,United States,USA,7588.0
Corona de Tucson,31.9495,-110.7836,United States,USA,7583.0
Ojai,34.4487,-119.2469,United States,USA,7582.0
Marshall,42.2617,-84.9597,United States,USA,7582.0
Marengo,42.2312,-88.6153,United States,USA,7576.0
Happy Valley,53.3,-60.3,Canada,CAN,7572.0
Silvis,41.4975,-90.4101,United States,USA,7571.0
Pinehurst,42.5334,-71.234,United States,USA,7568.0
Baltimore Highlands,39.2355,-76.6367,United States,USA,7565.0
Aledo,32.6974,-97.607,United States,USA,7563.0
Monticello,41.6523,-74.6876,United States,USA,7561.0
Calipatria,33.1493,-115.5056,United States,USA,7558.0
Evergreen,48.2308,-114.27,United States,USA,7552.0
Lake Shore,45.6911,-122.6911,United States,USA,7550.0
Dayton,40.3815,-74.5137,United States,USA,7549.0
Pulaski,35.1933,-87.035,United States,USA,7549.0
